Total Nacional,Comunidades y Ciudades Autónomas,Especies animales,Características básicas de la explotación,Tipo de dato,Tamaño de las explotaciones según UGT,Total
Total Nacional,01 Andalucía,1 Bovinos,Nº explotaciones,Valor,Todas las explotaciones,5.100
Total Nacional,01 Andalucía,2 Ovinos,Nº explotaciones,Valor,Todas las explotaciones,10.174
Total Nacional,01 Andalucía,3 Caprinos,Nº explotaciones,Valor,Todas las explotaciones,7.907
Total Nacional,01 Andalucía,4 Porcinos,Nº explotaciones,Valor,Todas las explotaciones,5.324
Total Nacional,01 Andalucía,5 Aves de corral,Nº explotaciones,Valor,Todas las explotaciones,1.703
Total Nacional,01 Andalucía,6 Conejas madres,Nº explotaciones,Valor,Todas las explotaciones,81
Total Nacional,02 Aragón,1 Bovinos,Nº explotaciones,Valor,Todas las explotaciones,2.571
Total Nacional,02 Aragón,2 Ovinos,Nº explotaciones,Valor,Todas las explotaciones,2.579
Total Nacional,02 Aragón,3 Caprinos,Nº explotaciones,Valor,Todas las explotaciones,1.364
Total Nacional,02 Aragón,4 Porcinos,Nº explotaciones,Valor,Todas las explotaciones,1.342
Total Nacional,02 Aragón,5 Aves de corral,Nº explotaciones,Valor,Todas las explotaciones,486
Total Nacional,02 Aragón,6 Conejas madres,Nº explotaciones,Valor,Todas las explotaciones,126
Total Nacional,"03 Asturias, Principado de",1 Bovinos,Nº explotaciones,Valor,Todas las explotaciones,12.626
Total Nacional,"03 Asturias, Principado de",2 Ovinos,Nº explotaciones,Valor,Todas las explotaciones,2.391
Total Nacional,"03 Asturias, Principado de",3 Caprinos,Nº explotaciones,Valor,Todas las explotaciones,1.141
Total Nacional,"03 Asturias, Principado de",4 Porcinos,Nº explotaciones,Valor,Todas las explotaciones,730
Total Nacional,"03 Asturias, Principado de",5 Aves de corral,Nº explotaciones,Valor,Todas las explotaciones,724
Total Nacional,"03 Asturias, Principado de",6 Conejas madres,Nº explotaciones,Valor,Todas las explotaciones,82
Total Nacional,"04 Balears, Illes",1 Bovinos,Nº explotaciones,Valor,Todas las explotaciones,543
Total Nacional,"04 Balears, Illes",2 Ovinos,Nº explotaciones,Valor,Todas las explotaciones,2.823
Total Nacional,"04 Balears, Illes",3 Caprinos,Nº explotaciones,Valor,Todas las explotaciones,665
Total Nacional,"04 Balears, Illes",4 Porcinos,Nº explotaciones,Valor,Todas las explotaciones,1.346
Total Nacional,"04 Balears, Illes",5 Aves de corral,Nº explotaciones,Valor,Todas las explotaciones,410
Total Nacional,"04 Balears, Illes",6 Conejas madres,Nº explotaciones,Valor,Todas las explotaciones,184
Total Nacional,05 Canarias,1 Bovinos,Nº explotaciones,Valor,Todas las explotaciones,547
Total Nacional,05 Canarias,2 Ovinos,Nº explotaciones,Valor,Todas las explotaciones,710
Total Nacional,05 Canarias,3 Caprinos,Nº explotaciones,Valor,Todas las explotaciones,1.122
Total Nacional,05 Canarias,4 Porcinos,Nº explotaciones,Valor,Todas las explotaciones,331
Total Nacional,05 Canarias,5 Aves de corral,Nº explotaciones,Valor,Todas las explotaciones,386
Total Nacional,05 Canarias,6 Conejas madres,Nº explotaciones,Valor,Todas las explotaciones,53
Total Nacional,06 Cantabria,1 Bovinos,Nº explotaciones,Valor,Todas las explotaciones,5.955
Total Nacional,06 Cantabria,2 Ovinos,Nº explotaciones,Valor,Todas las explotaciones,1.359
Total Nacional,06 Cantabria,3 Caprinos,Nº explotaciones,Valor,Todas las explotaciones,863
Total Nacional,06 Cantabria,4 Porcinos,Nº explotaciones,Valor,Todas las explotaciones,387
Total Nacional,06 Cantabria,5 Aves de corral,Nº explotaciones,Valor,Todas las explotaciones,345
Total Nacional,06 Cantabria,6 Conejas madres,Nº explotaciones,Valor,Todas las explotaciones,67
Total Nacional,07 Castilla y León,1 Bovinos,Nº explotaciones,Valor,Todas las explotaciones,12.529
Total Nacional,07 Castilla y León,2 Ovinos,Nº explotaciones,Valor,Todas las explotaciones,7.273
Total Nacional,07 Castilla y León,3 Caprinos,Nº explotaciones,Valor,Todas las explotaciones,1.604
Total Nacional,07 Castilla y León,4 Porcinos,Nº explotaciones,Valor,Todas las explotaciones,4.643
Total Nacional,07 Castilla y León,5 Aves de corral,Nº explotaciones,Valor,Todas las explotaciones,1.377
Total Nacional,07 Castilla y León,6 Conejas madres,Nº explotaciones,Valor,Todas las explotaciones,314
Total Nacional,08 Castilla - La Mancha,1 Bovinos,Nº explotaciones,Valor,Todas las explotaciones,2.564
Total Nacional,08 Castilla - La Mancha,2 Ovinos,Nº explotaciones,Valor,Todas las explotaciones,4.540
Total Nacional,08 Castilla - La Mancha,3 Caprinos,Nº explotaciones,Valor,Todas las explotaciones,2.259
Total Nacional,08 Castilla - La Mancha,4 Porcinos,Nº explotaciones,Valor,Todas las explotaciones,1.032
Total Nacional,08 Castilla - La Mancha,5 Aves de corral,Nº explotaciones,Valor,Todas las explotaciones,560
Total Nacional,08 Castilla - La Mancha,6 Conejas madres,Nº explotaciones,Valor,Todas las explotaciones,76
Total Nacional,09 Cataluña,1 Bovinos,Nº explotaciones,Valor,Todas las explotaciones,4.223
Total Nacional,09 Cataluña,2 Ovinos,Nº explotaciones,Valor,Todas las explotaciones,1.920
Total Nacional,09 Cataluña,3 Caprinos,Nº explotaciones,Valor,Todas las explotaciones,1.379
Total Nacional,09 Cataluña,4 Porcinos,Nº explotaciones,Valor,Todas las explotaciones,4.435
Total Nacional,09 Cataluña,5 Aves de corral,Nº explotaciones,Valor,Todas las explotaciones,2.387
Total Nacional,09 Cataluña,6 Conejas madres,Nº explotaciones,Valor,Todas las explotaciones,441
Total Nacional,10 Comunitat Valenciana,1 Bovinos,Nº explotaciones,Valor,Todas las explotaciones,484
Total Nacional,10 Comunitat Valenciana,2 Ovinos,Nº explotaciones,Valor,Todas las explotaciones,907
