Comunidades Autónomas,Bovinos,Ovinos,Caprinos,Porcinos,Aves de corral,Conejas madres
 Andalucia,5100,10174,7907,5324,1703,81
 Aragón,2571,2579,1364,1342,486,126
 Asturias,12626,2391,1141,730,724,82
" Balears, Illes",543,2823,665,1346,410,184
 Canarias,547,710,1122,331,386,53
 Cantabria,5955,1359,863,387,345,67
 Castilla y León,12529,7273,1604,4643,1377,314
 Castilla - La Mancha,2564,4540,2259,1032,560,76
 Cataluña,4223,1920,1379,4435,2387,441
 Comunitat Valenciana,484,907,777,752,604,151
 Extremadura,7503,9953,3218,5880,840,20
 Galicia,28283,9142,3117,6902,6723,847
 Madrid,1125,475,215,42,82,7
 Murcia,222,1037,1248,419,202,34
 Navarra,1412,1831,436,730,272,40
 País Vasco,4586,3773,1680,291,1686,263
" Rioja, La",284,244,160,87,96,22
Ceuta,300,210,260,90,99,44
Melilla,451,910,500,108,340,117
